,wisdom,eg
398,꿩 대신 닭,"당시 축구계에선 ""기술위와 협회의 매끄럽지 못한 일처리로 국내 감독이 '꿩 대신 닭' 신세로 사령탑에 오르게 됐다""며 아쉬워했다."
399,꿩 대신 닭,"'꿩 대신 닭'이라는 표현은 꿩과 닭을 대체재로 보되, 꿩이 상급재, 닭이 하급재라는 인식이 반영되어 있습니다."
400,꿩 대신 닭,'꿩 대신 닭'으로 그 짓을 한 것이다.
401,꿩 대신 닭,꿩을 구하기 힘들 땐 닭고기를 썼는데 그래서 '꿩 대신 닭'이란 말이 나왔다.
402,꿩 대신 닭,꿩 대신 닭이라고 나는 홍보관을 견학할 수 없다면 실물이라도 보고 가자는 생각으로 현장 가까이로 갔다.
403,꿩 대신 닭,'꿩 대신 닭'이라고나 할까요.
404,꿩 대신 닭,꿩 대신 닭을 기른 것이다.
405,꿩 대신 닭,○ '꿩 대신 닭'
406,꿩 대신 닭,"'꿩 대신 닭'의 관계이면 대체재, '바늘과 실'의 관계이면 보완재다."
407,꿩 대신 닭,[부산/경남]울산상의 '꿩 대신 닭'식 졸속추진 논란
408,꿩 대신 닭,"노영민 민주당 대변인은 ""꿩(원안) 대신 닭(수정안)이라도 받으라고 하다가 닭마저 안 받으면 아무것도 없다는 것처럼 협박을 하고 있다""며 ""지방선거를 통해서 세종시 백지화를 추진한 이명박 정권에게 확실하게 표로써 보여줄 것이다""라고 말했다."
409,꿩 대신 닭,'꿩 대신 닭'이지만 자세히 보면 그렇지 않다.
410,꿩 대신 닭,여기서 '꿩 대신 닭'이라는 말이 유래했다는 것.
411,꿩 대신 닭,'알맞은 것이 없을 때 비슷한 것으로 대신한다'는 뜻의 '꿩 대신 닭'이라는 속담은 설날에 먹는 떡국에서 유래했다.
412,꿩 대신 닭,최 씨 등은 '꿩 대신 닭'이라는 생각에 이 돈을 들고 달아났다.
413,꿩 대신 닭,꿩(MD) 대신 닭(패트리엇 미사일)?
414,꿩 대신 닭,결국 중요한 것은 살아가면서 정서적 만족을 얻을 수 없는 상태에 처해 있을 때 꿩 대신 닭이라는 마음으로 뭐라도 입에 넣어 그 허기를 채우려는 부질없는 노력을 하는 메커니즘이 작동한다는 사실이다.
415,꿩 대신 닭,"온라인에서 사용자들의 이용 후기는 ""'꿩 대신 닭' 심정으로 구입했는데 써보니 '날아다니는 닭'""이라는 식의 찬사가 많다."
416,꿩 대신 닭,꿩 대신 닭이다.
417,꿩 대신 닭,이번 학자금 대출제도 개선안은 반값 등록금 공약을 공식적으로 폐기하고 '꿩 대신 닭'을 선택한 것이라고 볼 수 있다.
418,꿩 대신 닭,꿩 대신 닭? 대구국제육상에 게이·파월 온다
419,꿩 대신 닭,"'꿩 대신 닭'이란 말이 이런 경우에도 적용이 되는지 모르겠지만, 기자는 하는 수 없이 알하지 회장 대신 미디어 담당관과 인터뷰를 해야 했다."
420,등잔 밑이 어둡다,모두 '등잔 밑이 어둡다'는 옛말을 악용한 사례들. 또 검은 뿔테안경의 안쪽 가장자리에 하얀색 펜으로 핵심 정보를 적어놓은 뒤 안경을 고쳐 쓰는 체하며 훑어보기도 한다.
421,등잔 밑이 어둡다,등잔 밑이 어둡다는 속담이 딱 들어맞은 셈이다.
422,등잔 밑이 어둡다,등잔 밑이 어둡듯 대통령도 모르는 사이 권력의 복판까지 파고들 수 있는 것이 부패의 속성이다.
423,등잔 밑이 어둡다,[수도권]등잔밑이 어둡네
424,등잔 밑이 어둡다,"음식점 원산지 허위표시 ""등잔 밑이 어둡네"""
425,등잔 밑이 어둡다,등잔 밑이 어두운 법이라고 그가 잡힌 곳은 경찰의 코앞이었다.
426,등잔 밑이 어둡다,그러나 조 청장은 '등잔 밑이 어둡다'는 속담을 몰랐던 것 같다.
427,등잔 밑이 어둡다,"어떤 일에든 등잔 밑이 어둡기 마련. 주위를 둘러보면 싼 가격, 심지어는 무료로 건강검진을 받을 수 있는 곳도 적지 않다."
428,등잔 밑이 어둡다,가족은 때로 '등잔 밑'처럼 어둡다.
429,등잔 밑이 어둡다,"""'등잔 밑이 어둡다'는 말이 있잖아요."
430,등잔 밑이 어둡다,프랑스 인상파의 빛 그림에 익숙한 한국 관객들에게 풀빛 가득한 영국의 19세기 근대미술은 어두운 등잔 밑이라고 할 수 있다.
431,등잔 밑이 어둡다,역시 '등잔 밑'이 어두웠다.
432,등잔 밑이 어둡다,하지만 등잔 밑이 어둡다고 정작 대통령 측근 비리는 막지 못했다.
433,등잔 밑이 어둡다,등잔 밑이 어두운 사회적 강자
434,등잔 밑이 어둡다,"등잔 밑이 어둡다더니, 곁에 있는 좋은 일자리를 모르고 있었네요.(구직자 최진규씨)"
435,등잔 밑이 어둡다,YS는 그러나 등잔 밑이 어두웠다는 평을 듣는다.
436,등잔 밑이 어둡다,"등잔 밑이 어두운 탓일까, 그 자들을 너무 멀리서 찾지 마시지. 정작 그이들은 찻길 옆에서 ""현장으로 돌아가야 한다""고 눈물 참으면서 외치는데."
437,등잔 밑이 어둡다,등잔 밑이 어두운 것일까.
438,등잔 밑이 어둡다,"'등잔 밑이 어둡다'고 했지만, 눈앞이 어두운 것은 늘 사회적 강자이기 일쑤다."
439,등잔 밑이 어둡다,하지만 등잔 밑이 어둡다 했던가.
440,등잔 밑이 어둡다,"저녁엔 어둡기 전에 공양하고 7시부터 9시까지는 촛불이나 등잔 밑에서 책을 읽거나, 나가서 낙엽 지는 소리, 시냇물 흐르는 소리에 귀 기울입니다."
441,등잔 밑이 어둡다,"""등잔 밑이 어두운 격이었다."
442,등잔 밑이 어둡다,"이들은 ""등잔 밑이 어둡다더니, 어떻게 그렇게 가까운 곳에 범인을 놔두고도 몰랐느냐. 기가 막힌다""며 ""예슬이만이라도 꼭 살아 있으면 좋겠다""고 입을 모았다."
443,등잔 밑이 어둡다,"그런데 등잔밑이 어둡다고, 어느 날 우리 가족 노래방의 열창가수인 처제한테 한번 불러보라고 했더니 노래에 꼭 필요한, 자연에 대한 파릇파릇한 사랑의 느낌이 살아나는 거예요."", ""형부가 지난해 뜬금없이 노래를 불러 달라고 해서 경험이 없던 터라 많이 긴장하고 마음고생해 가며 녹음했는데 이렇게 좋은 일에 쓰이게 되니 참 뿌듯해요."""
444,등잔 밑이 어둡다,등잔 밑은 어둡기 마련이다.
445,등잔 밑이 어둡다,진리는 늘 눈앞에 있는데 어두운 우리 눈이 등잔 밑을 못 보는 거지요.
446,등잔 밑이 어둡다,등잔 밑이 어둡다는 말은 미 프로야구 최고 명문구단인 뉴욕 양키스의 행크 스타인브레너 부사장에게 적용될 것 같다.
447,등잔 밑이 어둡다,"등잔 밑이 어둡다지 않는가""라고 답했다."
448,등잔 밑이 어둡다,"이들은 조직 내 관행과 고정관념에서 멀리 떨어져 있었기 때문에 새로운 길로 문제에 접근할 수도 있고, 새로운 가능성을 발견하거나 등잔 밑이 어두워 보이지 않던 위험도 포착할 수 있다는 것이다."
449,등잔 밑이 어둡다,어두운 등잔 밑과 같다.
450,등잔 밑이 어둡다,그림 읽어주는 남자와 33인의 화가 박세당 지음/북성재·1만4000원 등잔 밑이 어두워도 이렇게 어두울 수가.
451,등잔 밑이 어둡다,나는 옆방에 살면서도 전혀 알지 못했구나.
452,등잔 밑이 어둡다,'등잔 밑이 어둡다' '아닌 밤중에 홍두깨' '얌전한 고양이 부뚜막에 먼저 올라간다'….
453,등잔 밑이 어둡다,"『신 기생뎐』 등을 쓸 때 전북 군산에서 역사적 사실을 조사하고 취재했는데, 등잔 밑이 어두웠구나 싶었죠."""
454,등잔 밑이 어둡다,홍보대행사 K사는 '등잔 밑이 어둡다'는 점을 이용해 입사 지원자들의 허를 찌른다.
455,등잔 밑이 어둡다,그간 서울 강남권 초·중·고교 근처는 '등잔 밑이 어두운 식'으로 많은 성매매 업소가 뿌리를 내리고 있었다.
456,등잔 밑이 어둡다,"""세계 속의 한국만 찾다 보니 등잔 밑이 어둡게 돼버렸어."""
457,등잔 밑이 어둡다,"잉카인터넷 관계자는 ""백신 업데이트 서버가 뚫린 것은 '여기에는 문제가 없겠지'하는 방심에서 비롯된 것""이라며 ""등잔 밑이 어둡다는 속담이 꼭 맞는 사례""라고 말했다."
458,등잔 밑이 어둡다,등잔 밑은 왜 항상 어두운 걸까.
459,등잔 밑이 어둡다,'등잔 밑이 어둡다'는 말처럼 그간 놓친 절세 상품에 대해 알아보자.
460,등잔 밑이 어둡다,"""등잔 밑이 어둡다""는 걸 보여 준 인선이었다."
461,등잔 밑이 어둡다,김 위원장이 대선 때 새누리당 중앙선대위 공동선대위원장을 맡았음에도 인수위원장 후보로 눈여겨본 이가 많지 않았듯 이번에도 '등잔 밑'이 어두웠던 셈이다.
462,등잔 밑이 어둡다,"김용준 대통령직인수위원장이 24일 박근혜 정부의 첫 총리 후보자로 지명된 것에 대해 박 당선인의 참모들은 ""등잔 밑이 어두웠던 셈""이라며 ""박 당선인이 한 사람을 중요 자리에 연속으로 기용하는 경우가 거의 없었는데 이번에는 그게 깨졌다""고 했다."
463,등잔 밑이 어둡다,"중국을 너무 잘 아는 것 같지만 '등잔 밑이 어둡다'는 속담처럼 잘못된 고정관념과 선입견이 적잖고, 이런 게 미래의 중국에 대한 올바른 인식과 전망을 가로막는다는 지적이다."
464,등잔 밑이 어둡다,"등잔 밑이 어둡다고 보석 같은 장소를 가까이 두고도 ""여행 가고 싶어"" 노래를 한다."
465,등잔 밑이 어둡다,당시 일본은 우리 안기부의 안마당이었으니 '등잔 밑이 어둡다'고 그가 일본을 통해 가리라고는 누구도 예상치 못했던 것이다.
466,등잔 밑이 어둡다,"'전통이 사라져간다', '아이들이 보고 배울 만한 전통이 없다'고들 이야기하지만 등잔 밑이 어두운 소리다."
467,등잔 밑이 어둡다,그러나 등잔 밑이 어두웠던가.
468,등잔 밑이 어둡다,"DJ는 ""지금 실제론 좌파건 우파건 다 중도통합의 시대""라고 했지만 등잔 밑이 어두워도 이렇게 어두울 순 없다."
469,등잔 밑이 어둡다,"그런데도 이곳은 북한산·도봉산·우면산 등 서울 외곽 산책로에 비해 찾는 사람이 적으니, 등잔 밑이 어둡다는 말이 떠오른다."
470,등잔 밑이 어둡다,일각에서는 심지어 카다피가 '등잔 밑이 어둡다'는 점을 이용해 외신기자들이 머물고 있는 트리폴리 릭소스 호텔에 있을 가능성도 제기하고 있다.
471,등잔 밑이 어둡다,이슬람 극단주의에만 집중해 등잔 밑이 어두웠다는 반성도 나오고 있다.
472,등잔 밑이 어둡다,그런데 등잔 밑이 어두운 것일까.
473,등잔 밑이 어둡다,등잔 밑이 어두운 셈이다.
474,등잔 밑이 어둡다,그러나 결국 '등잔 밑이 어두웠던' 모양새가 돼버렸다.
475,등잔 밑이 어둡다,등잔 밑이 어두웠다.
476,등잔 밑이 어둡다,등잔 밑 어두웠던 오사마 빈 라덴의 마지막 은신처
477,등잔 밑이 어둡다,하지만 '등잔 밑이 어둡다'는 속담처럼 유럽 IOC 위원들도 '평창'을 지지할 수 있는 전략도 마련해야 한다.
478,등잔 밑이 어둡다,"파리에서 '그놈의 탑'이 안 보이는 곳은 그 탑 아래밖에 없다는 것이었으니, 말하자면 그는 어두운 등잔 밑을 찾아간 셈이다."
479,등잔 밑이 어둡다,등잔 밑이 어둡다는 사자성어로 등하불명(燈下不明)이다.
480,등잔 밑이 어둡다,등잔 밑이 어둡다고 했던가.
481,등잔 밑이 어둡다,등잔 밑은 늘 어둡다.
482,등잔 밑이 어둡다,의식과 지식으로 찾으면 늘 등잔 밑이 어둡다.
483,등잔 밑이 어둡다,등잔 밑이 어둡다는 속담은 여기에도 해당하는 듯하다.
484,등잔 밑이 어둡다,"너무 다른 데 관심이 많아서 등잔 밑이 어두워질 수가 있다."""
485,등잔 밑이 어둡다,하지만 등잔 밑이 어두운 법. 찬찬히 여유롭게 구석구석 살펴보면 콸라룸푸르야말로 말레이시아가 자랑하는 '아시아의 진수'를 맛볼 수 있는 곳이다.
486,등잔 밑이 어둡다,이번 사태에서 노 대통령이 얻어야할 최대의 교훈은 수많은 정보기관과 비서관을 거느리고 있으면서도 등잔밑이 어둡듯이 대통령은 친인척 비리를 보지 못한다는 사실을 명심하는 것이다.
487,등잔 밑이 어둡다,외국 제약업계를 중심으로 '등잔 밑 마케팅'이 거세다.'등잔 밑 마케팅'은 '등잔 밑이 어둡다'는 속담처럼 자칫 고객으로 생각하지 못하는 자사 임직원들부터 고객으로 만들자는 것을 말한다.
488,등잔 밑이 어둡다,"등잔 밑이 어둡다고, 남편의 이중생활과 사생아의 입적을 부인이 제일 나중에 알게 된다."
489,등잔 밑이 어둡다,정부는 날카로운 통찰력과 판단력을 가진 전문적인 언론인들이나 칼럼니스트들의 비판적인 지적이 없으면 '등잔 밑이 어두워' 침체에 빠지거나 독재로 전락할 수밖에 없다.
490,등잔 밑이 어둡다,미국인들은 반전 입장을 밝힌 프랑스에 대해 포도주 불매운동을 하고 프렌치 프라이를 리버티 프라이로 이름 바꾸는 등 화풀이를 했지만 정작 등잔 밑은 어두웠던 셈이다.
491,등잔 밑이 어둡다,"등하불명(燈下不明), 등잔 밑이 어둡다는 속담이 빈말이 아니었다."
492,등잔 밑이 어둡다,=등잔 밑이 어둡다고 했다.
493,등잔 밑이 어둡다,등잔 밑이 어둡다는 격으로 위성전화를 통해 외부소식을 접하곤 하지만 그 역시 우리가 알고 있는 바그다드의 모습과는 또 다르다.
494,등잔 밑이 어둡다,"등잔 밑이 어둡다고, 남의 얼굴은 찬찬히 들여다봤을지 몰라도 내 몸을 살펴볼 경험은 그다지 없었던가 보다."
495,등잔 밑이 어둡다,다행히 '등잔 밑이 어둡다'고 드디어 같은 동에 사는 믿음직한 아주머니를 만날 수 있었다.
496,등잔 밑이 어둡다,"등잔 밑이 어둡다고, 바로 코밑에 있었는데도 몰랐던 것이다."
497,등잔 밑이 어둡다,"등잔 밑이 어두운 격인데, 이를 방지하기 위해 ID는 되도록 공유하지 않는 게 좋다."
498,등잔 밑이 어둡다,"참 재미있는 건 등잔밑이 어둡다고 파출소 바로 옆 골목이 가장 안전했거든요."""
499,등잔 밑이 어둡다,하지만 등잔 밑이 어두운 법. 각 구청이 마련한 각종 프로그램이 시설이나 수준면에서 유명 학원에 비해 떨어지지 않는다는 것을 아는 사람은 많지 않다.
500,등잔 밑이 어둡다,어느 나라든 등잔 밑이 어둡지 않을까.
501,등잔 밑이 어둡다,①등잔 밑이 어둡다=후베이(湖北)성은 세계 최대의 싼샤(三峽)댐을 비롯해 수많은 댐을 품고 있는 중국의 대표적 수력발전기지다.
502,등잔 밑이 어둡다,"한국에선 종교학이라면 전부 서양의 종교(기독교)를 연구하는 것이었는데…, '등잔 밑이 어두웠구나' 하며 무릎을 쳤지요."
503,등잔 밑이 어둡다,"등잔밑이 어둡다는 속담처럼, 직원이나 회사쪽은 미처 자신의 잘못을 깨닫지 못하는 경우가 많다."
504,등잔 밑이 어둡다,등잔 밑이 어두웠던 셈이죠.
505,등잔 밑이 어둡다,"박씨와 이씨는 서울 한복판의 가족들의 도움으로 자신의 집이나 은신처에서 생활했다는 점에서 ""등잔밑이 어둡다""는 속담을 떠올리게 했다."
506,등잔 밑이 어둡다,"한 관계자는 ""그가 28년간 헌병수사관으로 근무하면서 터득한 '등잔 밑이 어둡다'는 은신 요령을 십분 활용한 것 같다""고 말하기도 했다."
507,등잔 밑이 어둡다,이런 걸 두고 '등잔 밑이 어둡다' 했던가.
508,등잔 밑이 어둡다,그런데 막상 PC방을 잘 모르는 사람들은 등잔 밑이 어두운 한국사람들이다.
509,등잔 밑이 어둡다,"등잔 밑이 어둡다고 우리 경찰의 순찰활동, 교통정리같은 치안활동을 외국인은 잘 알고 있는데, 정작 우리 국민은 모르는 것 같아 안타까울 뿐이다."
510,등잔 밑이 어둡다,고객이 믿고 맡긴 돈으로 주가 조작을 일삼는 사실을 몰랐던 것은 '등잔 밑이 어두웠던' 셈이다.
511,등잔 밑이 어둡다,그간 목욕탕 경영으로 모은 여윳돈을 마땅히 안정적으로 굴릴 투자처를 찾지 못했는데 '등잔밑이 어둡다'고 뒤늦게 자신의 소유 부동산의 가치를 알고 개발에 나서 대성공을 거뒀다.
512,등잔 밑이 어둡다,등잔 밑이 어둡다고 지척에 괜찮은 곳을 두고 먼 곳으로 찾아다니기 십상이다.
513,등잔 밑이 어둡다,등잔 밑이 어둡다고 청주시민만 해도 도심 한복판에 우뚝 선 청주 유일의 국보 용두사지 철당간이 어떤 가치를 지녔는지 제대로 아는 사람이 별로 없다.
514,등잔 밑이 어둡다,"등잔 밑이 어둡다고, 인터넷에서 아시아 나라들과 관련된 정보를 찾을 때 어디서부터 시작해야 할지 막막할 경우가 있다."
515,등잔 밑이 어둡다,<> 등잔밑이 어두운 국방부=국방부가 직속으로 관리하는 사격장도 문제가 적지 않다.
516,등잔 밑이 어둡다,"권한을 남용했느냐 안 했느냐는 법적 차원에서 따질 것은 엄밀하게 따지되 개인의 사생활은 보호해야 한다""거나 ""(노 대통령으로선) 등잔 밑이 어두울 수가 있다""고 에둘러 말한 게 전부다."
517,등잔 밑이 어둡다,▽등잔 밑이 어둡다=결정이나 지시를 내려놓고 실제로 실행이 되는지를 챙기지 않는다.
518,등잔 밑이 어둡다,근막동통증후군의 진단이 등잔 밑이 어두운 것처럼 잘 진단되지 않은 이유는 무엇일까?
519,등잔 밑이 어둡다,등잔 밑 어두운 부분도 영원히 비밀의 영역으로 남을 것 같지만 아침이면 백일하에 드러나고 만다.
520,등잔 밑이 어둡다,"그는 또 ""(노 대통령이) 너무 다른 데 관심이 많아서 등잔 밑이 어두워질 수 있다""고 꼬집었다."
521,등잔 밑이 어둡다,이상민=우리 기업들은 사회책임 경영을 하긴 하는데 등잔 밑이 어둡다.
522,등잔 밑이 어둡다,"이 후보는 전투는 당에 맡기고, 자신은 뒤로 한 발 빠지기로 했으나 12일 한 인터뷰에서 ""노 대통령이 바빠서 등잔 밑이 어둡다""고 한마디를 던졌다."
523,등잔 밑이 어둡다,"한나라당 이명박 대통령후보는 12일 변양균 전 청와대 정책실장의 신정아씨 비호사건과 관련해 ""노무현 대통령이 남북정상회담 (준비)하랴 야당 후보를 고발하랴 바쁘다""며 ""(대통령이) 너무 다른 데 관심이 많아서 등잔 밑이 어두워질 수 있다""고 말했다."
524,등잔 밑이 어둡다,1. 회사: 등잔 밑이 어둡다.
525,등잔 밑이 어둡다,이곳에 가면 그가 있다… '남자들의 굴';등잔 밑이 어두운 법… 회사 동료부터 살펴라
526,등잔 밑이 어둡다,등잔 밑이 밝을 것 같은데 실은 가장 어둡다.
527,등잔 밑이 어둡다,노 정권은 혁신을 캐치프레이즈로 내걸었는데 정작 등잔 밑이 어둡다고 코 밑에 있는 공기업들은 혁신하고는 거리가 먼 행태를 보인 것이다.
528,등잔 밑이 어둡다,"등잔 밑이 어둡기로 치면, 중국 또한 마찬가지가 아닌가."
529,등잔 밑이 어둡다,원래 등잔 밑이 어둡다잖아요 숨겨진 서울 산책 코스 세 곳
530,등잔 밑이 어둡다,"현장검증을 지켜보던 옆집 주민 김모(76) 씨는 ""등잔 밑이 어두웠다""면서 ""뒷집에 이렇게 무서운 사람이 사는 줄 몰랐다""며 혀를 찼다."
531,등잔 밑이 어둡다,연애박사로 통했던 이 씨는 '등잔 밑이 어둡다'는 속담을 새길 것을 권했다.
532,등잔 밑이 어둡다,등잔 밑이 정말 어둡지요?
533,등잔 밑이 어둡다,등잔 밑이 어둡다고 조선백자에 먼저 빠져든 사람은 일본사람이었다.
534,등잔 밑이 어둡다,등잔 밑이 어둡다고나 할까?
535,등잔 밑이 어둡다,그런데 등잔 밑이 어둡다고 정작 우리 전통문화는 케케묵은 골동품처럼 취급되고 있어요.
536,등잔 밑이 어둡다,"등잔 밑이 어둡다고 했던가, 이 틈에 '서울지방'의 고유한 뉴스도 현재로선 거의 유야무야한 실정이다."
537,등잔 밑이 어둡다,등잔 밑이 어두운 법이다.
538,등잔 밑이 어둡다,"등잔 밑이 어둡다는 속담이 있지만, 정작 발 밑에 기회가 많고 정보가 많은데 너무 멀리만 바라보는 게 아닌가 되돌아봐야 할 것 같았다."
539,등잔 밑이 어둡다,결과적으로 등잔 밑이 어두웠던 것으로 밝혀졌다.
540,등잔 밑이 어둡다,"""진짜 등잔 밑이 어두운 거예요."
541,등잔 밑이 어둡다,"등잔 밑이 어둡다고, 남산은 알아도 낙산은 모르는 사람이 꽤 많다."
542,등잔 밑이 어둡다,"그런 걸 등잔 밑이 어둡다고 한다""고 했다."
543,등잔 밑이 어둡다,등잔 밑만 어두운 게 아니다.
544,등잔 밑이 어둡다,"하지만 등잔 밑이 어둡다고, 일부 지식인의 문화사대주의와 열등감 때문에 우수한 문화가 적절치 못한 평가를 받곤 한다."
545,등잔 밑이 어둡다,[나는 알뜰족] 등잔 밑이 어둡다더니 기업 본사에 할인매장 있었네!;구두·모피·그릇… 할인율 20~70%
546,등잔 밑이 어둡다,3. 풍유법: 본뜻은 뒤에 숨기고 비유하는 말만 드러내어 그 숨은 뜻을 넌지시 나타내는 표현 방법. 속담 등은 대개 이에 딸림. 예) 등잔 밑이 어둡다.
547,등잔 밑이 어둡다,"미아, 등잔 밑이 어둡다"
548,등잔 밑이 어둡다,근막동통증후군은 의사 남편을 두고도 꾀병이라고 의심당한 환자가 있을 만큼 '등잔 밑이 어둡다'는 교훈과 함께 신체검사와 같은 기초진찰의 중요성을 다시금 일깨워 주는 질병이다.
549,등잔 밑이 어둡다,"등잔 밑이 어두운 법. 학교 안에서 할 수 있는 아르바이트가 기다리고 있으니, 이름하여 근로장학제도."
550,등잔 밑이 어둡다,너무 잘 알려진 탓이려니 그러나 '등잔 밑이 어둡다'는 속담은 이 경우에도 딱 들어맞는다.
551,산 넘어 산,물론 넘어야 할 산은 아직 많다.
552,산 넘어 산,그렇게 하나씩 산을 넘었다.
553,산 넘어 산,모두 1천m가 넘는 산들로 이 중 가지산이 가장 높다.
554,산 넘어 산,MS 재갈물리기 첫산 넘었지만...
555,산 넘어 산,그러나 양당간 공조를 위해서는 넘어야 할 산이 많다.
556,산 넘어 산,평소 같으면 감탄사도 나오련만 고개마루를 넘어 내리막으로 들어서면서부터는 최근 산불로 폐허가 되다시피한 대간 동편의 산과 마을이 생각나 오히려 가슴이 아프다.
557,산 넘어 산,이 고개만 넘으면 모처럼 산이 물러 앉고 잔잔한 강이 흐르는 평지가 펼쳐진다.
558,산 넘어 산,주부들이 슈퍼에서 찍어준 가격표 목록을 보면서 산 것은 없는데 합계가 10만원이 넘으니 도둑맞은 느낌이 든다고 하는 것도 공감한다.
559,산 넘어 산,이 제도가 명실상부한 이산가족찾기 사업이 되기 위해서는 넘어야 할 산이 아직도 많다.
560,산 넘어 산,높이 300ｍ 남짓되는 산 밑에 이르자 200개가 넘는 계단이 기다리고 있었다.
561,산 넘어 산,"육군이 이같이 목숨을 건 진화작전을 편 건, 산불이 이 산을 타고 넘어 백두대간으로 옮아 붙을 경우 백두대간을 잇는 산맥들이 모두 타들어가는 '대재앙'으로 번질 가능성이 크다는 판단에서다."
562,산 넘어 산,"대표 메뉴는 강, 산, 들로 이름 붙인 3만원, 2만원, 1만5000원짜리 코스. 2만원짜리를 달랬더니 한시간 넘도록 느릿하게 접시가 이어진다."
563,산 넘어 산,"◆자율 합병 가능한가=DJ정권 출범 후 금융 및 기업 구조조정을 추진했지만, 아직 넘어야 할 산이 많다."
564,산 넘어 산,"불길은 주유소를 넘어 맞은편 산으로 건너뛰었고, 주유소 왼쪽 골짜기에도 불길이 보였다."
565,산 넘어 산,"남북 정상회담이 예정대로 개최된다 하더라도 그것은 '긴 과정의 시작'일 뿐이며, 남북 경협이 진전돼 기업들이 실질적 혜택을 보기까지에는 넘어야 할 산이 너무 많다는 설명이다."
566,산 넘어 산,"초속 25ｍ를 넘는 강풍을 타고 불덩이가 산 정상을 맴돌았고, 계곡을 날아 넘어 옆 산으로 번져갔다."
567,산 넘어 산,◇ '3인방' 이 넘어야 할 산〓우선 바닥에 떨어진 그룹의 이미지를 되살려야 한다.
568,산 넘어 산,◇ 해결해야 할 과제〓ASP시장이 관심을 끌고는 있지만 넘어야 할 산도 만만찮다.
569,산 넘어 산,담티고개를 넘어 경산방향으로 내닫는 고산대로. 요즘 이곳을 지나면 오른편 산 아래 흰 구조물에 시선을 빼앗기기 십상이다.
570,산 넘어 산,하지만 전자화폐가 활성화하기 위해선 개발 업체별로 다른 규격이나 사용방식을 통일시켜야 하는 등 넘어야 할 산도 만만찮다.
571,산 넘어 산,한 손에 카메라를 들고 들로 산으로 '한국' 을 찾기 위해 돌아다닌 지 벌써 20년이 넘었다.
572,산 넘어 산,그러나 산을 넘으니 호랑이가 버티고 있는 격. 선두에는 타이거 우즈가 2타차 앞서가고 있었다.
573,산 넘어 산,"그림자는 인수봉에 주고 발짝 소리는 바위의 뿌리로 심겠다고? 깊은 산 속이 아니라 사람 사는 마을 어디에도 그의 '숨은 벽' 은 있어, 그래서 눈부신 슬픔으로 부르는 이름 하나 있어, 그의 발짝 소리 오늘도 오늘도 산을 넘어 오리라."
574,산 넘어 산,그러나 양자 컴퓨터가 실현되려면 넘어야 할 산도 많다.
575,산 넘어 산,이러한 양한방 협진은 환자쪽에서 보면 가장 바람직한 진료형태. 그러나 이상적인 의료시스템을 만들기 위해서는 넘어야 될 산도 많다.
576,산 넘어 산,그러나 산넘어 산이다.
577,산 넘어 산,"그래서 벌써부터 많은 기대로 가슴이 설레는데, 의제나 절차 등 준비접촉을 거치며 넘어야 할 산이 많으므로 남북이 두루 신중하고 차분해져야 한다."
578,산 넘어 산,"현대투신을 포함한 투신권의 구조조정,무역수지 흑자폭 감소,미국의 금리인상설 등 넘어야할 산이 많다."
579,산 넘어 산,정부가 난개발에 대한 종합적인 대책을 제시했다는 점에서는 의의가 크지만 대책이 현실화되기 위해서는 넘어야 할 산이 많다.
580,산 넘어 산,"경남 함양군(함양군)과 전북 장수군(장수군)이 경계를 맞댄 육십령은 ""산을 넘는 동안 산적 60명을 만난다""는 전설이 내려올 만큼 숲이 울창하던 곳.동사면에는 남강 최상류 계곡이, 서사면에는 금강 최상류 계곡이 자리잡고 있다."
581,산 넘어 산,"그러려면 넘어야 할 산이 많다는 것을 잘 압니다."""
582,산 넘어 산,하지만 지난 96년에도 비공식적으로 가입을 신청했던 북한이 ADB 가입국이 되기에는 넘어야 할 산이 많이 남아있다.
583,산 넘어 산,"반면 현대투신 사태는 정부와 재벌, 관료주의와 시장경제의 한국적 상관관계를 다시 한번 노출함으로써 우리 경제는 아직도 넘어야 할 산이 많음을 새삼 깨닫게 만들었다."
584,산 넘어 산,'산넘어 개똥아';누가 '어지러운 오늘'을 구할 것인가;
585,산 넘어 산,국내 바이오산업의 중흥을 위해선 넘어야 할 산도 많다.
586,산 넘어 산,또 입주민들의 창밖 시야를 확보하기 위해 조망 차폐율(시야 가림)이 50~70%를 넘지 않아야 하며 주변의 산이나 구릉보다 높은 건물은 지을 수 없게 된다.
587,산 넘어 산,1천m를 넘지만 산 중턱까지 도로가 나 있어 2시간이면 너끈히 오를 수 있다.
588,산 넘어 산,2년 이상 남은 대선을 목표로 지루한 생존을 해나가기 위해 민국당이 가장 먼저 넘어야 할 산은 자금. '현재로선 조만간 돌려받을 비례대표 19명이 낸 등록비(3억8천만원)가 전 재산이다.
589,산 넘어 산,"JP가 공조복원을 결심했더라도 넘어야 할 산은 많다.이한동(李漢東)총재가 정치적 운명을 같이 해 줄지,강창희(姜昌熙)·이양희(李良熙)의원등 합당반대파들이 어떤 반응을 보일 지 불투명하다."
